Params:
--model SincNet --w_len 500 --sampling False --mask hamming --hard_mask True --penalty 0.1 --seed 1
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:458: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:459: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:460: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:461: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:462: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/aditthapron/work/[/home/aditthapron/work/anaconda3/envs/torch_1_12/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:465: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
SincNet_TIMIT_500_10_hamming_True__0.1_1 -- 2022-10-27_11:31:49
Valid: 0, loss=3.712, err=0.800, err_snt=0.334, tr_loss=2.761, tr_err=0.675, length=3959.0, sr=8000.0
Valid: 1, loss=3.195, err=0.660, err_snt=0.120, tr_loss=1.391, tr_err=0.366, length=3845.6, sr=8000.0
Valid: 2, loss=3.243, err=0.643, err_snt=0.085, tr_loss=1.074, tr_err=0.293, length=3239.0, sr=8000.0
Valid: 3, loss=3.104, err=0.579, err_snt=0.041, tr_loss=0.578, tr_err=0.164, length=3628.8, sr=8000.0
Valid: 4, loss=3.298, err=0.565, err_snt=0.045, tr_loss=0.373, tr_err=0.106, length=3624.3, sr=8000.0
Valid: 5, loss=3.287, err=0.542, err_snt=0.027, tr_loss=0.266, tr_err=0.076, length=3620.7, sr=8000.0
Valid: 6, loss=3.421, err=0.555, err_snt=0.032, tr_loss=0.245, tr_err=0.071, length=3113.7, sr=8000.0
Valid: 7, loss=3.559, err=0.544, err_snt=0.032, tr_loss=0.197, tr_err=0.060, length=2811.3, sr=8000.0
Valid: 8, loss=3.620, err=0.527, err_snt=0.030, tr_loss=0.144, tr_err=0.045, length=2504.7, sr=8000.0
Valid: 9, loss=3.750, err=0.529, err_snt=0.025, tr_loss=0.147, tr_err=0.045, length=3002.5, sr=8000.0
Valid: 10, loss=3.926, err=0.535, err_snt=0.032, tr_loss=0.128, tr_err=0.039, length=2895.9, sr=8000.0
Valid: 11, loss=3.910, err=0.522, err_snt=0.019, tr_loss=0.124, tr_err=0.036, length=2893.1, sr=8000.0
Valid: 12, loss=4.031, err=0.520, err_snt=0.019, tr_loss=0.102, tr_err=0.031, length=3090.7, sr=8000.0
Valid: 13, loss=4.135, err=0.525, err_snt=0.030, tr_loss=0.095, tr_err=0.028, length=3190.1, sr=8000.0
Valid: 14, loss=4.030, err=0.486, err_snt=0.022, tr_loss=0.097, tr_err=0.031, length=2987.1, sr=8000.0
Valid: 15, loss=4.200, err=0.491, err_snt=0.021, tr_loss=0.098, tr_err=0.031, length=2883.1, sr=8000.0
Valid: 16, loss=4.188, err=0.473, err_snt=0.019, tr_loss=0.083, tr_err=0.027, length=2881.1, sr=8000.0
Valid: 17, loss=4.364, err=0.468, err_snt=0.027, tr_loss=0.073, tr_err=0.022, length=2776.7, sr=8000.0
Valid: 18, loss=4.284, err=0.477, err_snt=0.019, tr_loss=0.064, tr_err=0.019, length=2768.7, sr=8000.0
